No,SiteID,PlantVariety,PlantType,PlantID,Length,Length_sq,Width,Width_sq,Flower,estimate00,mixed
60,E,Horiminori,Thrum,E-T03,17.08,291.73,4.82,23.23,54,127.0062344,54
61,E,Horiminori,Thrum,E-T03,9.96,99.2,4.98,24.8,30,73.85291654,30
62,E,Horiminori,Thrum,E-T03,18.8,353.44,7.98,63.68,77,196.1869351,77
63,D,Horiminori,Pin,D-P01,6.85,46.92,3.65,13.32,26,24.14061855,26
64,D,Horiminori,Pin,D-P01,15.5,240.25,8.95,80.1,NA,185.9585613,186
65,D,Horiminori,Pin,D-P01,7.91,62.57,2.85,8.12,NA,16.7901763,17
66,D,Horiminori,Pin,D-P01,6.21,38.56,3.2,10.24,NA,10.3111453,10
67,D,Horiminori,Pin,D-P01,5.87,34.46,3.7,13.69,NA,17.38284506,17
68,D,Horiminori,Pin,D-P01,5.1,26.01,2.98,8.88,NA,-2.780169682,-3
69,D,Horiminori,Pin,D-P01,1.45,2.1,4.45,19.8,15,-3.131647768,15
70,D,Horiminori,Pin,D-P01,10.48,109.83,2.62,6.86,NA,32.45713344,32
71,D,Horiminori,Pin,D-P01,7.66,58.68,3.53,12.46,NA,28.19536795,28
72,D,Horiminori,Pin,D-P01,9.92,98.41,3.1,9.61,40,37.58569991,40
73,D,Horiminori,Pin,D-P01,7.8,60.84,24.41,595.85,NA,294.9681054,295
74,D,Horiminori,Pin,D-P01,8.7,75.69,20.4,416.16,273,272.8400356,273
75,D,Horiminori,Pin,D-P01,9.62,92.54,4.23,17.89,NA,57.10428493,57
76,D,Horiminori,Pin,D-P01,8.45,71.4,3.31,10.96,NA,30.12600159,30
77,D,Horiminori,Pin,D-P01,7.52,56.55,3.32,11.02,32,22.9931702,32
78,D,Horiminori,Pin,D-P02,3.02,9.12,5.83,33.99,NA,34.6546169,35
79,D,Horiminori,Pin,D-P02,5.36,28.73,2.7,7.29,NA,-6.301901478,-6
80,D,Horiminori,Pin,D-P02,5.8,33.64,3.05,9.3,NA,4.123159835,4
81,D,Horiminori,Pin,D-P02,6.19,38.32,9.81,96.24,100,126.0563524,100
82,D,Horiminori,Pin,D-P02,11.65,135.72,5.22,27.25,48,91.59940856,48
83,D,Horiminori,Pin,D-P02,9.06,82.08,4.46,19.89,NA,57.04278778,57
84,D,Horiminori,Pin,D-P02,13.44,180.63,2.6,6.76,38,55.38715094,38
85,D,Horiminori,Pin,D-P02,3.17,10.05,3.41,11.63,NA,-9.537038102,-10
86,D,Horiminori,Pin,D-P02,11.1,123.21,3.46,11.97,NA,53.9483312,54
87,D,Horiminori,Pin,D-P02,7.85,61.62,28.2,795.24,276,313.4565911,276
88,D,Horiminori,Pin,D-P02,7.09,50.27,12.61,159.01,NA,173.7593282,174
89,D,Horiminori,Pin,D-P02,9.6,92.16,5.01,25.1,NA,71.57033821,72
90,D,Horiminori,Pin,D-P02,8.12,65.93,11.61,134.79,62,167.9559648,62
91,D,Horiminori,Pin,D-P02,10.81,116.86,6.79,46.1,83,113.0152388,83
92,D,Horiminori,Pin,D-P02,4.85,23.52,8.85,78.32,NA,100.4103428,100
93,D,Horiminori,Pin,D-P02,5.77,33.29,23.28,541.96,NA,271.7804215,272
94,D,Horiminori,Pin,D-P02,6.28,39.44,12.62,159.26,NA,167.5111772,168
95,D,Horiminori,Pin,D-P02,10.74,115.35,3.46,11.97,NA,51.11061501,51
96,D,Horiminori,Pin,D-P02,10.88,118.37,4.55,20.7,NA,73.08343453,73
97,D,Horiminori,Pin,D-P02,7.31,53.44,4.16,17.31,NA,37.56161594,38
98,D,Horiminori,Pin,D-P03,13.66,186.6,6.38,40.7,55,128.312516,55
99,D,Horiminori,Pin,D-P03,12.37,153.02,2.39,5.71,41,42.72851393,41
100,D,Horiminori,Pin,D-P03,NA,NA,NA,NA,47,NA,47
101,D,Horiminori,Pin,D-P03,15.39,236.85,3.98,15.84,55,97.81541392,55
102,D,Horiminori,Pin,D-P03,4.38,19.18,23.46,550.37,190,262.0245244,190
103,D,Horiminori,Thrum,D-T01,10.77,115.99,2.7,7.29,NA,36.34266681,36
104,D,Horiminori,Thrum,D-T01,7.78,60.53,24.32,591.46,NA,294.2696482,294
105,D,Horiminori,Thrum,D-T01,10.94,119.68,3.96,15.68,NA,62.35510742,62
106,D,Horiminori,Thrum,D-T01,13.05,170.3,4.13,17.06,NA,82.23617435,82
107,D,Horiminori,Thrum,D-T01,14.36,206.21,5.65,31.92,NA,120.7988537,121
108,D,Horiminori,Thrum,D-T01,7.22,52.13,13.04,170.04,NA,180.5723799,181
109,D,Horiminori,Thrum,D-T01,4.24,17.98,12.07,145.68,NA,143.8569333,144
110,D,Horiminori,Thrum,D-T01,3.75,14.06,5.38,28.94,10,32.25903721,10
111,D,Horiminori,Thrum,D-T01,13.23,175.03,6,36,69,118.1812888,69
112,D,Horiminori,Thrum,D-T01,7.08,50.13,9.21,84.82,58,123.715585,58
113,D,Horiminori,Thrum,D-T01,11.36,129.05,5.96,35.52,55,102.7265248,55
114,D,Horiminori,Thrum,D-T02,8.6,73.96,13.02,169.52,NA,191.1833159,191
115,D,Horiminori,Thrum,D-T02,13.71,187.96,4.43,19.62,NA,93.13181691,93
116,D,Horiminori,Thrum,D-T02,13.69,187.42,6.09,37.09,NA,123.411448,123
