Variety,Morph,Site,ID,ForestArea,Height,Diameter,HerbivRate,DevRate,SeedSet,AvgMass,SiteYield,SiteYield_Root
Kitawase,Pin,A,A-P01,3.52,85.5,6.48,70.45,1.6,3.1,0.0299,49.72571583,7.051646321
Kitawase,Pin,A,A-P02,3.52,119.8,5.45,50,1.8,3.3,0.0325,49.72571583,7.051646321
Kitawase,Pin,A,A-P03,3.52,128.2,6.21,68,4,5.5,0.0273,49.72571583,7.051646321
Kitawase,Thrum,A,A-T01,3.52,130.1,6.29,75.56,1.2,2.4,0.03,49.72571583,7.051646321
Kitawase,Thrum,A,A-T02,3.52,110.9,5.43,72.41,1.5,2.8,0.0227,49.72571583,7.051646321
Kitawase,Thrum,A,A-T03,3.52,101.1,5.92,64.52,1.4,3.5,0.0371,49.72571583,7.051646321
Kitawase,Pin,B,B-P01,27.31,131.4,4.76,36,2.7,4.4,0.0275,12.51378656,3.537483083
Kitawase,Pin,B,B-P02,27.31,135,5.32,54.76,3.5,5.7,0.0278,12.51378656,3.537483083
Kitawase,Pin,B,B-P03,27.31,137.4,5.41,23.81,2.2,3.7,0.0303,12.51378656,3.537483083
Kitawase,Thrum,B,B-T01,27.31,132.8,5.64,47.06,3,4.4,0.0279,12.51378656,3.537483083
Kitawase,Thrum,B,B-T02,27.31,110,4.63,66.67,4.9,7.2,0.028,12.51378656,3.537483083
Kitawase,Thrum,C,B-T03,27.31,127.6,6.67,25.71,8,11.3,0.0277,12.51378656,3.537483083
Horominori,Pin,C,C-P01,43.99,93.5,4.78,92,2.2,4.4,NA,8.235634309,2.869779488
Horominori,Pin,C,C-P02,43.99,99.6,4.9,88.89,2.8,7,0.037,8.235634309,2.869779488
Horominori,Pin,C,C-P03,43.99,96.1,4.12,100,0.9,2.8,0.0256,8.235634309,2.869779488
Horominori,Thrum,C,C-T01,43.99,101.2,4.76,87.5,0.7,1.6,0.0205,8.235634309,2.869779488
Horominori,Thrum,C,C-T02,43.99,124.4,6.36,88.1,3.5,10.6,0.0367,8.235634309,2.869779488
Horominori,Thrum,C,C-T03,43.99,106.7,4.52,79.17,4,8.6,0.0381,8.235634309,2.869779488
Horominori,Pin,D,D-P01,19.72,85.7,4.12,61.11,1.1,2.9,0.037,2.945205435,1.716160084
Horominori,Pin,D,D-P02,19.72,71.6,4.16,92.86,3.2,8.8,0.0269,2.945205435,1.716160084
Horominori,Pin,D,D-P03,19.72,50.2,3.53,100,2.3,2.8,0.0344,2.945205435,1.716160084
Horominori,Thrum,D,D-T01,19.72,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
Horominori,Thrum,D,D-T02,19.72,77.7,3.99,52.94,2.8,5.6,0.021,2.945205435,1.716160084
Horominori,Thrum,D,D-T03,19.72,NA,NA,NA,NA,NA,NA,2.945205435,1.716160084
Horominori,Pin,E,E-P01,68.75,64.8,3.6,66.67,4.2,6.1,0.0125,7.452175663,2.729867334
Horominori,Pin,E,E-P03,68.75,95.7,4.26,86.67,3.9,6,0.0261,7.452175663,2.729867334
Horominori,Thrum,E,E-T01,68.75,103.7,5.72,80.95,4.7,6.7,0.0357,7.452175663,2.729867334
Horominori,Thrum,E,E-T02,68.75,84.7,4.65,93.75,3.1,7.2,0.0357,7.452175663,2.729867334
Horominori,Thrum,E,E-T03,68.75,87.5,4.24,80,2,4,0.0378,7.452175663,2.729867334
Kitawase,Pin,F,F-P01,85.78,112.2,5.21,90.48,3.2,3.9,0.0307,7.604393109,2.757606409
Kitawase,Pin,F,F-P02,85.78,124.1,7.69,70.79,4.2,8.1,0.0289,7.604393109,2.757606409
Kitawase,Pin,F,F-P03,85.78,103.8,5.63,61.76,4,4.8,0.0374,7.604393109,2.757606409
Kitawase,Thrum,F,F-T01,85.78,135.7,6.62,51.72,5,8.1,0.0311,7.604393109,2.757606409
Kitawase,Thrum,F,F-T02,85.78,144.1,7.26,78.85,5.8,8.8,0.0223,7.604393109,2.757606409
Kitawase,Thrum,F,F-T03,85.78,75.6,5.65,68.89,8,9.1,0.0387,7.604393109,2.757606409
