"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"ForestArea",1,730.801796301307,730.801796301307,2.64009934393413,0.116739419690804
"Morph",1,52.7338603735451,52.7338603735451,0.190506688516553,0.666241641990583
"Variety",1,4127.4328651631,4127.4328651631,14.9107909348331,0.000706580954854075
"ForestArea:Morph",1,41.7838798644671,41.7838798644671,0.150948717388921,0.700919459861358
"ForestArea:Variety",1,6.96659859884104,6.96659859884104,0.0251675796137062,0.875224789105571
"Morph:Variety",1,166.7114611728,166.7114611728,0.602262913824509,0.444996199431558
"ForestArea:Morph:Variety",1,661.194689081857,661.194689081857,2.38863625362249,0.134786223905282
"Residuals",25,6920.21114641378,276.808445856551,NA,NA
