"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"ForestArea",1,17.1462299640199,17.1462299640199,10.5857987917319,0.00289281754337287
"Variety",1,5.68541023432906,5.68541023432906,3.51007824550083,0.0711064598253549
"Morph",1,2.78082901795553,2.78082901795553,1.71683784249125,0.200384302800909
"Residuals",29,46.9724277533925,1.61973888804802,NA,NA
