"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"ForestArea",1,3491.54905360203,3491.54905360203,35.5618822223863,2.01964018293291e-06
"Variety",1,1685.03319719506,1685.03319719506,17.1622827517324,0.000286256163177827
"HerbivRate",1,749.251743392723,749.251743392723,7.63122666885111,0.010019066244225
"Morph",1,50.8636303648102,50.8636303648102,0.518052705165444,0.477638901161633
"Residuals",28,2749.10571070151,98.1823468107682,NA,NA
